focus_country,other_country,val
ESP,SWE,1426
ESP,NIC,59990
VNM,JPN,397727
VNM,KOR,12323
VNM,MYS,7550801
VNM,BEL,164832
VNM,CHE,89926
VNM,DEU,5583
VNM,ESP,138700
VNM,FRA,87753
VNM,ITA,3482
VNM,NLD,74895
VNM,RUS,2683
VNM,CAN,3326
VNM,USA,21772
VNM,AUS,10300
