other_country,focus_country,val
QAT,AUT,1794
THA,AUT,3543
TUR,AUT,472740
XXB,AUT,6088
BGR,AUT,963624
BIH,AUT,231004
BLR,AUT,2700
BEL,AUT,37528251
CHE,AUT,14452803
CZE,AUT,13195252
DEU,AUT,312404157
DNK,AUT,651859
ESP,AUT,1689976
FIN,AUT,84722
FRA,AUT,13472403
GBR,AUT,2812944
GRC,AUT,72242
HRV,AUT,3049345
HUN,AUT,4239848
IRL,AUT,118689
ITA,AUT,22470506
LTU,AUT,560370
LVA,AUT,123576
MKD,AUT,26659
NLD,AUT,28605163
NOR,AUT,943092
POL,AUT,13138192
PRT,AUT,407560
ROU,AUT,826164
RUS,AUT,1694
SRB,AUT,477827
SVK,AUT,19215967
SVN,AUT,403508
SWE,AUT,1393887
UKR,AUT,1479
BLM,AUT,20104
CAN,AUT,47980
JAM,AUT,51363
MEX,AUT,17211
USA,AUT,255523
BRA,AUT,6637
CHL,AUT,5556
ECU,AUT,49750
PER,AUT,15508
EGY,RUS,5528
ARE,RUS,33243
ARM,RUS,278376
AZE,RUS,1380195
CHN,RUS,665509
GEO,RUS,27354
IDN,RUS,1049
IND,RUS,120153
IRN,RUS,31657
ISR,RUS,145826
JOR,RUS,17927
JPN,RUS,558343
KAZ,RUS,11303576
KGZ,RUS,6526
KOR,RUS,1250844
LBN,RUS,83243
MYS,RUS,14243
PHL,RUS,115538
SAU,RUS,8137
THA,RUS,115192
TUR,RUS,1984459
UZB,RUS,432770
AUT,RUS,1113637
BGR,RUS,581852
BLR,RUS,34951142
BEL,RUS,27460780
CHE,RUS,9795518
CZE,RUS,571205
DEU,RUS,100323233
DNK,RUS,775661
ESP,RUS,2093311
EST,RUS,767391
FIN,RUS,8753439
FRA,RUS,11626930
GBR,RUS,3947723
GRC,RUS,76528
HRV,RUS,4641
HUN,RUS,1768894
IRL,RUS,20128
ITA,RUS,57885100
LTU,RUS,5755634
LVA,RUS,4094401
MDA,RUS,408136
NLD,RUS,9530424
NOR,RUS,80776
POL,RUS,48337058
PRT,RUS,3124
ROU,RUS,292536
SRB,RUS,744941
SVK,RUS,964362
SVN,RUS,99701
SWE,RUS,2114253
UKR,RUS,113453
CAN,RUS,9584
GTM,RUS,24649
USA,RUS,2108924
NZL,RUS,83184
COL,RUS,465272
ECU,RUS,9096
MDG,CZE,24092
STP,CZE,4878
ZAF,CZE,1404
CHN,CZE,202923
GEO,CZE,1868
HKG,CZE,12935
IND,CZE,55831
ISR,CZE,32192
KOR,CZE,1938
LBN,CZE,1025
MYS,CZE,76591
THA,CZE,36251
TUR,CZE,1396229
AUT,CZE,30165241
BGR,CZE,2946143
BLR,CZE,6599
BEL,CZE,46765607
CHE,CZE,4251835
DEU,CZE,105023060
DNK,CZE,250900
ESP,CZE,2864125
FIN,CZE,1414246
FRA,CZE,12156171
GBR,CZE,4780344
GRC,CZE,117097
HRV,CZE,446353
HUN,CZE,12430353
IRL,CZE,1324111
ITA,CZE,20227409
LTU,CZE,583598
LVA,CZE,193850
MDA,CZE,1578
MKD,CZE,124736
NLD,CZE,9121187
NOR,CZE,27024
POL,CZE,90977213
PRT,CZE,58671
ROU,CZE,619543
RUS,CZE,127760
SRB,CZE,86931
SVK,CZE,46207660
SVN,CZE,445475
SWE,CZE,1168360
UKR,CZE,135634
CAN,CZE,303434
USA,CZE,702140
AUS,CZE,75348
NRU,CZE,32531
BRA,CZE,1242
COL,CZE,4214
PER,CZE,21366
CIV,CHE,365073
GHA,CHE,1878
MAR,CHE,14301
MDG,CHE,15884
RWA,CHE,5138
TUN,CHE,18501
TZA,CHE,1483
UGA,CHE,56403
ZAF,CHE,7806
ARE,CHE,22619
ARM,CHE,2320
CHN,CHE,154280
IDN,CHE,2062
ISR,CHE,28712
JPN,CHE,14798
KOR,CHE,9912
LKA,CHE,7760
MYS,CHE,8664
PHL,CHE,11323
SGP,CHE,4430
THA,CHE,64369
TUR,CHE,151047
VNM,CHE,45119
XXB,CHE,10816
AUT,CHE,7647832
BGR,CHE,7641
BEL,CHE,20260360
CZE,CHE,200459
DEU,CHE,116192620
DNK,CHE,169192
ESP,CHE,2144001
FRA,CHE,31415058
GBR,CHE,5224533
GRC,CHE,17283
HRV,CHE,210415
HUN,CHE,1079356
IRL,CHE,52275
ITA,CHE,21735268
LTU,CHE,5669
MKD,CHE,44797
NLD,CHE,17535253
NOR,CHE,51278
POL,CHE,15154387
PRT,CHE,224673
ROU,CHE,7463
RUS,CHE,12443
SRB,CHE,259115
SVK,CHE,309776
SVN,CHE,3479
SWE,CHE,1983158
CAN,CHE,37845
CRI,CHE,2234
MEX,CHE,17517
USA,CHE,1465945
AUS,CHE,8501
ARG,CHE,1511
BRA,CHE,2302
COL,CHE,7644
ECU,CHE,17592
PER,CHE,1617
ZAF,SWE,4257
ARE,SWE,16072
CHN,SWE,50655
IND,SWE,4612
JOR,SWE,21579
LBN,SWE,61302
SYR,SWE,13161
THA,SWE,16977
TUR,SWE,704243
VNM,SWE,6406
AUT,SWE,4606372
BGR,SWE,133796
BIH,SWE,75470
BEL,SWE,41861177
CHE,SWE,4541236
CZE,SWE,364860
DEU,SWE,64969113
DNK,SWE,28642944
ESP,SWE,11703141
EST,SWE,19175
FIN,SWE,33296824
FRA,SWE,18075785
GBR,SWE,8534490
GRC,SWE,66640
HRV,SWE,175679
HUN,SWE,3557650
IRL,SWE,4127271
ISL,SWE,303965
ITA,SWE,8297230
LTU,SWE,20489622
LVA,SWE,104028
MKD,SWE,55499
MLT,SWE,12450
NLD,SWE,40505407
NOR,SWE,19809818
POL,SWE,8973598
PRT,SWE,1213
ROU,SWE,68205
RUS,SWE,17786
SRB,SWE,270639
SVK,SWE,5550756
SVN,SWE,108250
CAN,SWE,676073
USA,SWE,2390402
NZL,SWE,1962
BRA,SWE,17634
CHL,SWE,6387
COL,SWE,14646
ECU,SWE,23781
PER,SWE,2208
BFA,IRL,7594
GAB,IRL,226921
KEN,IRL,3091
NGA,IRL,1397
TUN,IRL,2812
ZAF,IRL,10291
ARE,IRL,8462
CHN,IRL,173954
CYP,IRL,139462
IND,IRL,2523
ISR,IRL,19718
MYS,IRL,38124
SGP,IRL,1363
THA,IRL,1559
TUR,IRL,29708
AUT,IRL,214071
BGR,IRL,118685
BEL,IRL,16703572
CHE,IRL,1013857
CZE,IRL,227678
DEU,IRL,37032482
DNK,IRL,86800
ESP,IRL,1795929
EST,IRL,97488
FRA,IRL,14221494
GBR,IRL,218952665
GRC,IRL,17703
HUN,IRL,701112
ITA,IRL,5514084
LTU,IRL,316885
LVA,IRL,146737
MDA,IRL,37178
MKD,IRL,39450
NLD,IRL,11883670
NOR,IRL,74280
POL,IRL,12467835
PRT,IRL,5168
ROU,IRL,126376
SVK,IRL,991315
SWE,IRL,962647
CAN,IRL,981787
PAN,IRL,2136
TCA,IRL,23503
TTO,IRL,452923
USA,IRL,1766150
AUS,IRL,20493
BRA,IRL,14703
COL,IRL,4624
ECU,IRL,118168
ZAF,DNK,75216
ARE,DNK,2328
CHN,DNK,24648
THA,DNK,362893
TUR,DNK,138178
AUT,DNK,1392308
BGR,DNK,5794
BEL,DNK,67213434
CHE,DNK,2712292
CZE,DNK,157970
DEU,DNK,110321937
ESP,DNK,693218
EST,DNK,10870
FIN,DNK,2049856
FRA,DNK,11071459
GBR,DNK,10129067
GRC,DNK,80981
HUN,DNK,846187
IRL,DNK,329687
ISL,DNK,688971
