focus_country,other_country,val
BEL,THA,5862615
BEL,TKM,45754
BEL,TUR,7876597
BEL,UZB,3301
BEL,VNM,2493257
BEL,XXB,6169129
BEL,YEM,33135
BEL,ALB,478211
BEL,AND,110606
BEL,AUT,37528251
BEL,BGR,2877297
BEL,BIH,1621815
BEL,BLR,850728
BEL,CHE,20260360
BEL,CZE,46765607
BEL,DEU,470535754
BEL,DNK,67213434
BEL,ESP,61803613
BEL,EST,1686106
BEL,FIN,6472641
BEL,FRA,588891364
BEL,GBR,269967600
BEL,GIB,23275
BEL,GRC,17653273
BEL,HRV,3121228
BEL,HUN,12357947
BEL,IRL,16703572
BEL,ISL,1527303
BEL,ITA,76748851
BEL,LTU,9853426
BEL,LVA,2212389
BEL,MDA,237232
BEL,MKD,657689
BEL,MLT,1612795
BEL,MNE,559164
BEL,NLD,402314626
BEL,NOR,14833743
BEL,POL,39155997
BEL,PRT,17237227
BEL,ROU,9482159
BEL,RUS,27460780
BEL,SMR,1187249
BEL,SRB,2816385
BEL,SVK,7413426
BEL,SVN,2417492
BEL,SWE,41861177
BEL,UKR,3136011
BEL,ABW,19472
BEL,ATG,1006
BEL,BMU,23429
BEL,BRB,55142
BEL,CAN,41898059
BEL,CRI,573085
BEL,CUB,5696
BEL,CUW,162394
BEL,DOM,364066
BEL,GRL,40285
BEL,GTM,315661
BEL,HND,15810
BEL,HTI,2500
BEL,JAM,15654
BEL,LCA,10677
BEL,MAF,11674
BEL,MEX,7063830
BEL,NIC,54651
BEL,PAN,190290
BEL,SLV,85740
BEL,TTO,27756
BEL,USA,127048694
BEL,VGB,6409
BEL,AUS,36239327
BEL,FJI,92809
BEL,GUM,125183
BEL,NCL,571227
BEL,NZL,6793954
BEL,PLW,196492
BEL,PNG,5419
BEL,PYF,481140
BEL,ARG,1788132
BEL,BRA,15121070
BEL,CHL,6082195
BEL,COL,802195
BEL,ECU,1122842
BEL,PER,640947
BEL,PRY,166687
BEL,SUR,41264
BEL,URY,458928
BEL,VEN,1528702
ITA,AGO,98213
ITA,BEN,430563
ITA,CIV,223388
ITA,CMR,404964
ITA,COD,140880
ITA,COG,141709
ITA,CPV,10251
ITA,DJI,280914
ITA,DZA,11951186
ITA,EGY,4867574
ITA,ERI,3698
ITA,ETH,389584
ITA,GAB,229387
ITA,GHA,214489
ITA,GIN,2477
ITA,GMB,718868
ITA,GNQ,92691
ITA,KEN,569818
ITA,LBY,13541257
ITA,MAR,5319359
ITA,MDG,155569
ITA,MOZ,71332
ITA,MRT,113787
ITA,MUS,3576193
ITA,MWI,25801
ITA,NGA,300484
ITA,SDN,402989
ITA,SEN,394764
ITA,SOM,132027
ITA,SYC,77771
ITA,TUN,2155822
ITA,TZA,218828
ITA,UGA,23706
ITA,ZAF,15648560
